,name,youtube_code,namu_code,혐오,행복,중립,슬픔,분노,놀람,공포,총합,혐비,행비,중비,슬비,분비,놀비,공비
438,킴스맨KIMSMAN INDUSTRY,/channel/UCixaWz4xXA_mJg8UhOZ6hkQ,킴스맨,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
439,MarioPartyGames,/channel/UCGGPa08De2KNGSaiPPokePA,,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
440,나나양,/channel/UC2z7Vj0qpcjIsAEHwOE1-NA,나나양,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
441,비엠TV,/channel/UC50HiPRDIXQMcB9orOdlbaQ,비엠(유튜버),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
442,연두의 일상채널,/channel/UCFRDmLQJItqvkfFFfuTGGVg,연두(인터넷 방송인),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
443,핸팝,/channel/UCfSy6hLYDteGVYb5h_Z2xkQ,핸팝,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
444,DRX,/channel/UC5WN-znPsJK0BbA8aHxZHWQ,DRX/리그 오브 레전드,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
445,탕카페TV,/channel/UCz1lALRICSdUzHRjJVVo9NQ,탕카페,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
446,김성룡 바둑랩,/channel/UCfA0tTDLNooBB0ymdoI5M7w,김성룡(바둑기사)/김성룡 바둑랩,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
447,새상놀이터,/channel/UCJ9Mk-2MwdoS_zMKgkdVUNw,새상놀이터,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
448,망개,/channel/UCNKam43W5s-LfRMKcd9Jg5Q,망개(인터넷 방송인),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
449,하지니지,/channel/UCFIUgqzzNjCvarzIqCE89cA,Nizi Project,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
450,PlayersCUT,/channel/UCD4_2dTl0ORuzuv75tDom_g,김혜성(성우),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
451,LookSam,/channel/UCQLfdihF1WwbuVcgJq6x6Iw,김진효,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
452,TV벵골,/channel/UC4gnNZCL8d6Eq2lLNqk5aSg,TV벵골,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
453,Yoorop,/channel/UCUJtmHHXN4BGT3zyE0o1j0Q,,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
454,조탁구TV,/channel/UC_5H4MxUOOtppCGjpVl3XPg,조탁구,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
455,BLIZZARDKOREA,/channel/UCEOoYEH7uLJ0Ux566Hy3XmQ,디아블로 이모탈,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
456,임아니,/channel/UCeHFCfPMbmQUuypVtXrpnTw,임아니,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
457,AliasMuse,/channel/UCiAK_U-vD5zcL8Bh9sberCw,AliasMuse,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
458,김도랜드,/channel/UC2_VPutZK0o_tG8ca_QrQRA,김도,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
459,부멘 Bumen,/channel/UC-97DBrSjf37Qu1cyVQ8X1A,부멘,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
460,아론 페이지,/channel/UCDbOXmGL7EkmOcnUb5Kki4A,아론 페이지,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
461,세드TV,/channel/UCMo4MnhHhSDkiUIXS6dytTQ,세드TV,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
462,마루에몽,/channel/UCLWXraxoi58otTHcWa9LZhQ,마루에몽,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
463,ShiningStar,/channel/UCde-B1KjFgIb9WGsSdT5wqQ,샤이닝 스타(애니메이션),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
464,철구 풀영상,/channel/UCPuQ0kaW-TX_2LgrEEUl7qQ,철구(인터넷 방송인),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
465,코시TV,/channel/UC7uEw7E1-NBpJwE5L2Amoyg,코시(인터넷 방송인),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
466,심킹,/channel/UCDYdwDXhbVZXkdV6kZn-0IQ,플루톤(원피스),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
467,하얀귤,/channel/UCLXSj8Q2mnL2XbBgRdTPiMQ,하얀귤,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
468,모잉_,/channel/UCHzre37UF4o64HRhp-7CDzQ,모잉,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
469,취한무드등,/channel/UCxM_h0LDzNU0XVD8YWCb17A,취한무드등,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
470,뽀박사 뽀쪽 Dr Joon,/channel/UC0hI0RUHrjCCskDMnMBnzFQ,뽀쪽뽀쪽,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
471,앤새ANDSADLY,/channel/UCZQvXBMUT7ZMM5i9w9ZFp_Q,앤새ANDSADLY,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
472,뉴리키,/channel/UCtsaNMRUmgwxMSb7xdpzALA,뉴리키,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
473,아구이뽀 A924,/channel/UCEn8UcA-PNu5ZKr6tZdJ4Kw,아구이뽀,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
474,라온스럽게 Be Like Raon Lee,/channel/UCJVsjpZqtve-SZ11U8jmH_g,이라온(유튜버),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
475,기가막힌사람,/channel/UC9V4iFRjgNUaPRPgvSgSlxA,기가막힌사람,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
476,오늘의 매드무비,/channel/UCcjFBc6EZ76yJarqU1AYuhA,매드 무비,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
477,Companytube,/channel/UCpmGKHhLg6QmdDg03Zds8Fg,,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
478,John James,/channel/UCs2QSZ8p8OjLUWUllNTpPZA,르브론 제임스,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
479,ㅇyㅇ,/channel/UCm6Y-gVqhlhX4FzrJCtsSzg,ㅇyㅇ,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
480,선비방송,/channel/UCIwrzpUgafk5ZD14BaSVdGQ,선비방송,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
481,무결의 VR게임,/channel/UCprxjd4bxAiNAxg947wvrmA,무결,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
482,SM TV [SeoMin TV],/channel/UC6k_2mRnYn8b-W-pKtBy85w,병신TV,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
483,Dmonk,/channel/UCvlZOzv_B0GD9VLqdsGWfcQ,디몽크,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
484,GameDO,/channel/UCnhZk0ebU5fm9oazpCtc_Sg,GameDO,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
485,허샘,/channel/UCnCeDIkExSpULGqmpj5oafg,허샘,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
486,신원리강아지,/channel/UCUKBryOxBtW7l9IRFfTyCXw,강아지,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
487,캐인유튜브,/channel/UC-8S20Ll1gzPiu_YY8BgyaQ,캐인,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
488,레지나Rezina,/channel/UCoGlmInGRIRoDg4NjAYv4-Q,레지나(유튜버),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
489,만득유튜브,/channel/UCLFaCqu7-o7NGqn_-uyKPBQ,만득(인터넷 방송인),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
490,무자비,/channel/UCPPuXI31ybWYB560T2uAeMg,무자비,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
491,김슬기 Seulgi KIM,/channel/UCsMjo3TqAQueM3LFWlsKnhw,김슬기,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
492,"포켓몬 공식 채널 Pok?mon Korea, Inc.",/channel/UCAhmOb9JWkI2HV_KIe9X_3A,포켓몬스터W,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
493,기뉴다GINEWDA,/channel/UCyJgLaAwEwGiLTl9ccd2haw,기뉴다,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
494,라넥갓,/channel/UC-Kk2qNHBsyyYy8kIIKMh8Q,라넥갓,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
495,ScuD?쁘르로세,/channel/UCs5Qp6yaCnsUGwqegqTEPKQ,쁘르로세,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
496,악시,/channel/UC58e7PIf49oMlDljMFPSy0w,악시,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
497,윤작까,/channel/UClA2xudL_XKm5HLY9yP8wyg,윤작까,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
498,우감독 [Director Woo],/channel/UCVbAEP8L2wR5dYvcWShwCsw,우감독,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
